,eng,mar,eng_layer_1,mar_layer_1,eng_layer_8,mar_layer_8,eng_layer_16,mar_layer_16,eng_layer_24,mar_layer_24,eng_layer_30,mar_layer_30
33,i bought him a clock,मी त्याच्यासाठी एक घड्याळ विकत घेतलं,[[0.2063  0.0082  0.10297 ... 0.09076 0.16    0.1622 ]],[[ 0.6626   0.0864   0.03458 ...  0.596   -0.393    0.7524 ]],[[ 0.654   0.5103  0.369  ... -0.2369 -0.1685  0.1581]],[[ 0.7407   0.537    0.02097 ...  1.558   -0.3865   1.203  ]],[[ 1.225   0.6006  0.708  ... -0.3562 -0.2181  0.6973]],[[ 1.017   0.235  -0.1559 ...  1.458  -0.4817  1.23  ]],[[2.297  0.1071 1.403  ... 1.044  0.4246 2.18  ]],[[-0.4343  0.2019 -0.519  ...  1.351   0.1151  1.004 ]],[[0.4302  1.013   0.8403  ... 0.05292 0.096   1.54   ]],[[ 0.6714   0.02652  2.098   ...  0.832    0.1764  -1.177  ]]
34,hes a bartender,तो बार्टेंडर आहे,[[ 0.1493  -0.4463   0.1259  ... -0.764    0.07996  0.8086 ]],[[-0.068   0.3281 -0.3198 ... -0.3267 -0.4187 -0.4712]],[[ 0.3862   -0.6226    0.006836 ... -0.905     0.3638    1.383   ]],[[ 0.9307  0.1827 -0.78   ... -0.9126 -0.8647  0.4387]],[[ 0.3242 -1.081   0.399  ... -1.124   0.8936  2.094 ]],[[ 0.666    0.308   -0.3037  ...  0.00713 -0.7314   0.4353 ]],[[ 0.2285 -1.435   0.3086 ... -0.132  -0.2812  3.979 ]],[[ 1.03    -0.11755 -0.956   ...  0.1527  -1.032    1.529  ]],[[ 0.0908 -1.151  -0.6626 ... -0.592  -1.998   2.725 ]],[[0.809  0.9575 1.047  ... 0.097  0.281  0.3464]]
35,click the ok button,ओके बटणवर क्लिक कर,[[-0.189    0.10034  0.3352  ...  0.7383   0.2952  -1.088  ]],[[-0.2211  -0.279   -0.1209  ...  0.11957  0.1835   0.46   ]],[[-0.2493  0.3416  0.657  ...  0.7793 -0.2025  0.609 ]],[[ 0.2432  0.415   0.1829 ... -0.1927  0.5264  1.131 ]],[[-0.3262  -0.2151   0.6167  ...  0.3843  -0.05316  0.824  ]],[[0.06033 0.4856  0.3284  ... 0.918   0.4866  1.326  ]],[[-0.6294 -0.3853  1.483  ...  0.7476 -0.2551  0.7183]],[[-0.6997 -0.6763 -0.9966 ...  2.076  -0.3674  2.512 ]],[[-1.312  1.779 -1.53  ...  1.204 -1.646  0.58 ]],[[-0.7915 -0.902   0.532  ...  1.565  -0.3755  0.717 ]]
36,i know that i dont have enough money to buy what i need,मला हे माहीत आहे की मला ज्याची गरज आहे ते विकत घेण्यासाठी माझ्याकडे पुरेसे पैसे नाहीत,[[-0.393   -0.2922  -0.1085  ...  0.3296  -0.06323  0.0776 ]],[[-0.006283 -0.01811  -0.04816  ... -0.2047   -0.3904   -0.1631  ]],[[ 0.1202  0.1583  0.1908 ... -0.3433  0.2192  0.1283]],[[-0.307    0.828   -0.2085  ...  0.06555 -0.206    0.1825 ]],[[ 0.1416 -0.5825 -0.0897 ... -0.0706 -0.4734  0.4075]],[[-0.2546   0.1655  -0.5327  ...  0.03482 -0.709    0.2502 ]],[[-0.2754  -1.38     0.05707 ... -0.0602   0.5425   0.2954 ]],[[-1.42     0.06696 -1.448   ...  0.3528  -0.4648   0.1611 ]],[[-0.6763  -0.10944 -0.3762  ... -0.5327   0.2211  -0.0877 ]],[[-0.746    0.3792   0.3164  ...  0.4978  -0.11804 -1.694  ]]
37,have some coffee,जराशी कॉफी घे,[[ 0.0629   0.02995  0.52    ... -0.3118   0.4863   0.3545 ]],[[ 0.479   -0.1876   0.1385  ...  0.10315 -0.2225   0.5513 ]],[[ 0.52   -0.648  -0.4524 ... -0.5273  0.9727  1.062 ]],[[ 0.4849 -0.253  -0.4238 ...  0.4058 -0.852   0.8613]],[[ 0.3457 -0.799  -0.4783 ... -0.505   0.77    0.762 ]],[[ 0.0815 -0.1376 -0.4475 ... -0.199  -0.3503  1.198 ]],[[ 0.578   -1.8545  -0.3662  ...  0.05225  0.561    1.7    ]],[[-0.39   -0.639  -1.626  ... -0.3008  0.3555  2.396 ]],[[-0.3933 -0.4688 -1.524  ... -0.0587  0.4675  0.698 ]],[[ 0.571   -0.7124   0.4065  ...  0.05942  0.706    1.541  ]]
38,youre my princess,तू माझी राजकन्या आहेस,[[ 0.5303 -0.538   0.5215 ... -0.4314  0.437   0.1002]],[[ 0.426    0.1985   0.02055 ...  0.0277  -0.257    0.1826 ]],[[ 0.0304 -0.377   0.3608 ... -0.3608  0.4036  0.861 ]],[[ 0.5654  0.56   -0.2372 ...  0.9507 -0.649   0.8726]],[[ 0.07056 -0.771    0.6216  ... -0.5728   0.3435   1.362  ]],[[ 0.3823 -0.184  -0.1353 ...  0.891  -0.3992  1.28  ]],[[ 1.033    -0.003174  0.5503   ...  0.2295    0.2211    1.828   ]],[[-1.037  -0.2708 -0.4216 ...  1.241  -0.686   1.676 ]],[[0.618  0.4253 1.642  ... 0.2935 0.2651 1.147 ]],[[-1.288    0.9565   2.365   ... -0.09644 -0.644    0.2583 ]]
39,im awake,मी जागा आहे,[[-0.0923   -0.3125   -0.002686 ...  0.2625    0.2064    0.6387  ]],[[-0.07745  -0.919    -0.1338   ...  0.0904   -1.079    -0.001221]],[[-0.7725  -0.04102  0.3647  ... -0.5825   0.372    1.26   ]],[[ 0.2576  0.426  -0.4875 ... -0.302  -1.021  -0.1583]],[[-1.271   0.1553  1.101  ... -0.6357  1.282   1.35  ]],[[ 0.311    0.5967  -0.4465  ...  0.0999  -0.7334  -0.01343]],[[-0.96   1.42   0.425 ... -0.804  1.535  2.584]],[[-0.6577  0.2798 -0.8174 ...  0.7476  0.1053  0.4092]],[[-0.3406   0.7495   0.03476 ... -2.162   -1.377    2.424  ]],[[-0.4731  0.1202  0.458  ...  0.4023  0.7314 -0.637 ]]
40,we made too many mistakes,आपण खूपच चुका केल्या,[[0.2482 0.25   0.578  ... 0.375  0.581  0.3057]],[[ 0.3857  -0.633    0.1895  ...  0.3677   0.02783 -0.4312 ]],[[ 0.242   0.5234 -0.2803 ... -0.0503  0.2197  1.105 ]],[[ 0.07275  0.2256   0.3264  ... -0.01767 -0.2146   0.02258]],[[-0.3123  -0.311   -0.10974 ...  0.8604   0.1747   1.705  ]],[[-0.2122  -0.07947  0.5073  ...  0.5815  -0.6377   0.684  ]],[[-4.854e-01  7.578e-01 -1.695e+00 ...  2.922e+00 -1.269e-03  2.879e+00]],[[-0.6904  0.4412 -1.217  ...  0.9854 -0.4644  1.176 ]],[[-0.2898   1.433   -1.983   ...  0.05035 -1.165    1.46   ]],[[ 0.5996  0.7695 -0.9297 ...  0.982  -0.1632  0.7686]]
41,who broke it,कोणी तोडली,[[ 0.4546  -0.12085  0.576   ...  0.0694   0.6714   0.2556 ]],[[ 0.3906 -0.55   -0.0462 ... -0.1168 -0.998   0.2922]],[[ 0.2029    0.04166   0.003906 ... -0.866    -0.529     1.104   ]],[[ 1.251   0.392  -0.2488 ... -0.4863 -0.4111  1.009 ]],[[ 1.144   0.0459  0.9565 ... -1.043  -0.755   1.976 ]],[[ 0.311  -0.4216  0.162  ...  0.2236 -0.6987  1.133 ]],[[ 0.9053  0.5464  0.8555 ...  0.458  -1.007   3.09  ]],[[-0.8857  -0.8105  -0.06323 ...  0.2695  -1.32     2.605  ]],[[ 1.135  -0.1636 -1.899  ... -1.345  -1.046   2.182 ]],[[0.2385  0.4048  2.008   ... 1.11    0.07263 1.364  ]]
42,watch how i do it,मी कसं करते बघा,[[-0.2656  0.3127 -0.3071 ...  0.249   0.237   0.2979]],[[-0.03622 -0.1405   0.05844 ...  0.4224  -0.04657  0.8447 ]],[[ 0.5864    0.423    -0.2048   ...  0.1985   -0.293    -0.005272]],[[ 0.0293  0.548   0.1685 ...  0.7915 -0.2615  1.029 ]],[[ 0.1256    0.5684   -0.001221 ...  0.676    -0.9014    0.8467  ]],[[-0.3105  0.1729 -0.756  ...  0.759  -0.6934  1.175 ]],[[-0.383   0.985   0.4036 ...  1.004  -1.921   1.872 ]],[[-0.811   0.2415 -0.9614 ...  1.223  -1.846   1.679 ]],[[-0.3958  1.247  -1.684  ...  0.2255 -1.251   0.796 ]],[[-1.027   0.3218  0.0978 ...  0.4253 -0.8657 -0.0428]]
43,it is no use complaining about the weather,हवामानाची तक्रार करण्यात काही अर्थ नाही,[[ 0.02838 -0.00994  0.0968  ... -0.2717   0.1357   0.3333 ]],[[ 0.11945 -0.0882  -0.00662 ... -0.4814  -0.4358   0.588  ]],[[ 0.3599 -0.2117  0.0305 ... -0.4526  0.1381  0.727 ]],[[-0.03882  0.777   -0.338   ...  0.01775 -0.0771   0.4797 ]],[[-0.2898 -0.6045  0.1691 ... -0.2152 -0.1616  0.8066]],[[ 0.237    0.3882  -0.5205  ... -0.5166   0.03253  0.3616 ]],[[ 0.04114 -0.725    0.8804  ...  1.007    1.216    1.296  ]],[[-0.845    1.145   -1.24    ... -0.6904   0.1266  -0.01682]],[[-0.0391   0.769   -0.4512  ... -0.7397   0.376   -0.02582]],[[-0.5444   0.509    1.219   ... -1.35     0.3428  -0.02528]]
44,mary took out the eggs one by one,मेरीने अंडी एकएक करून बाहेर काढली,[[ 0.4275  0.2119  0.3765 ... -0.2073  0.4077  0.3215]],[[ 0.4507   0.1216   0.00835 ...  0.06647 -0.07477  0.519  ]],[[ 0.603  -0.1459  0.0939 ... -0.3867  0.9004  0.4858]],[[ 0.723   -0.01082  0.01145 ...  0.2048   0.2046   0.4138 ]],[[ 0.206  -0.5347  0.808  ... -0.5723  1.198   0.383 ]],[[ 0.5537   0.2607   0.2083  ... -0.03238  0.6074   0.01932]],[[-2.197e-03  2.164e-02  1.491e+00 ...  2.521e-02  2.299e+00  1.895e+00]],[[-1.037     0.7627   -0.4697   ...  0.4724    0.7007    0.015015]],[[ 0.1584  1.09    0.5923 ... -0.715   1.61    1.499 ]],[[0.1936  0.1803  0.9897  ... 1.009   0.08594 0.1957 ]]
45,i want more information,मला अजून माहिती हवी आहे,[[-0.1245  -0.3286  -0.07587 ...  0.05533 -0.1346   0.1881 ]],[[-0.1594  0.148   0.1632 ...  0.35   -0.6235 -0.3665]],[[ 0.2019  -0.01581  0.2925  ... -0.749    0.138    0.0479 ]],[[ 0.1174  1.03    0.1063 ...  0.2394 -0.2279 -0.307 ]],[[-0.01532 -0.9355  -0.2047  ... -0.5327   0.591    0.     ]],[[ 0.576    0.3953  -0.05225 ...  0.975   -0.4465   0.1821 ]],[[ 0.764  -1.052   1.222  ...  1.248   0.1663  0.4019]],[[-1.336   -0.2488  -1.51    ...  0.3074  -0.2382   0.09644]],[[-0.699    0.74    -0.5557  ... -0.95     0.07837  1.031  ]],[[-0.5337  -0.4622   0.593   ... -0.2242  -0.05316 -1.069  ]]
46,are your parents still living,तुझे आईबाबा अजूनही जिवंत आहेत का,[[ 0.283    0.1843   0.6074  ... -0.07166 -0.3982   0.3662 ]],[[ 0.1195  -0.0612   0.3362  ... -0.2363  -0.1335   0.02713]],[[ 0.526   -0.2903   0.854   ...  0.612   -0.00664  1.047  ]],[[ 0.1482  0.055  -0.209  ... -0.0722 -0.447   0.2303]],[[ 0.11285  -0.2487    0.0957   ...  0.685    -0.003077  1.785   ]],[[ 0.3184   0.1309   0.04404 ... -0.05127 -0.7515   1.253  ]],[[-0.3054 -1.543  -0.3503 ...  1.958  -0.6685  3.678 ]],[[-0.6406 -0.928  -0.7773 ...  0.8525 -1.38    2.387 ]],[[-0.47   -0.2228 -1.42   ...  0.5005 -0.578   2.025 ]],[[-1.239   -0.0897   1.47    ...  1.06     0.07654  0.1635 ]]
47,tom gave me exactly what i needed,मला नेमकी ज्याची गरज होती तेच मला टॉमने दिलं,[[-0.5356 -0.555   0.1935 ...  0.4795  0.373   0.5483]],[[ 0.3013   0.07837  0.1991  ... -0.05    -0.10645  0.2026 ]],[[ 0.1162  -0.384   -0.04254 ... -0.5913  -0.04086  0.619  ]],[[ 0.591   0.6753 -0.145  ...  0.0679  0.2224  0.3118]],[[-0.2106  -0.204   -0.09705 ...  0.04184 -0.02322  0.996  ]],[[ 0.5327  0.114  -0.2588 ...  0.4539  0.1501  0.432 ]],[[-0.4612  0.3452 -0.5566 ...  0.2065 -0.2323  1.703 ]],[[-0.968   0.3792 -0.4568 ...  0.1737  0.4678  0.57  ]],[[-0.3901  0.2241 -1.04   ... -0.3237 -0.5977  1.055 ]],[[-0.7236  0.2063  1.773  ...  0.2861  0.4543 -0.768 ]]
48,tom is going to the mall,टॉम मॉलला चालला आहे,[[-0.3809 -0.1106  0.1802 ...  0.3975  0.443   0.1144]],[[ 0.09314  0.10547  0.3171  ...  0.6104  -0.569    0.627  ]],[[ 0.5205  0.1191  0.2095 ... -0.2274  0.482   0.6367]],[[ 0.5103   0.2632  -0.238   ...  0.02484 -0.4658   1.121  ]],[[ 0.4062  0.278   0.944  ... -0.203   0.4663  0.2654]],[[ 0.7007  0.2173 -0.662  ...  1.086  -0.2194  0.9   ]],[[ 0.421   -0.9      0.3901  ...  0.7017   0.03232  0.262  ]],[[-0.658    0.10657 -2.45    ...  0.276   -0.2756   1.672  ]],[[-0.829    0.06775 -0.736   ... -0.888    0.6616  -0.4543 ]],[[-0.7007   0.08594 -1.572   ... -0.3135   0.883    0.962  ]]
49,i totally agree,मी पूर्णपणे एकमत आहे,[[ 0.7637    0.004353 -0.2693   ...  0.536    -0.718     0.5     ]],[[-0.071    0.3267   0.2678  ... -0.11664 -0.3035   0.1594 ]],[[ 0.4385  0.4192 -0.5083 ... -0.3914 -0.6006  1.369 ]],[[ 0.3538    0.567     0.011765 ...  0.0341   -0.4082    0.1666  ]],[[-0.06976 -0.3853   0.6675  ... -0.0975  -0.7827   1.358  ]],[[-0.1105  0.5713 -0.2145 ... -0.2908 -0.1923  0.2219]],[[ 0.4587  1.444   0.5547 ... -0.346  -2.078   0.939 ]],[[-1.356  -0.867  -1.154  ... -0.7183 -0.356   0.2377]],[[-0.0453  1.58   -0.6655 ... -0.9956 -2.395   0.595 ]],[[-0.558  -1.191  -0.496  ... -0.6367  0.8267 -0.59  ]]
50,i have something,माझ्याकडे काहीतरी आहे,[[-0.03574  0.12354 -0.2795  ...  0.434   -0.2289   0.4978 ]],[[ 0.0365  0.648   0.2832 ... -0.8525 -0.66   -0.689 ]],[[-0.329   0.3208 -0.2803 ... -0.7144 -0.2688  0.284 ]],[[ 0.2854  1.14   -0.169  ... -0.6445 -0.3704 -1.136 ]],[[ 0.2069   0.0563   0.07355 ... -0.6357  -1.059    0.4963 ]],[[ 0.39    1.288   0.2494 ... -0.0598 -0.3003 -1.1   ]],[[-0.506   1.013  -0.3167 ... -0.5356 -1.806   2.316 ]],[[-0.5337    1.426     0.001587 ...  0.5073    1.084    -0.6553  ]],[[-1.012   0.8755 -0.5347 ... -1.753  -1.612   1.321 ]],[[-0.4058  1.646   2.73   ...  1.041   0.3735  0.376 ]]
51,tom is running to catch the bus,टॉम बस पकडायला धावत आहे,[[ 0.2166 -0.3938  0.2205 ...  0.2524  0.3042 -0.2307]],[[-0.002594 -0.1875   -0.05695  ... -0.0534   -0.4612    0.1998  ]],[[ 0.7363  -0.05634 -0.3855  ...  0.0662   0.4634  -0.06683]],[[ 0.547  -0.2291 -0.4111 ... -0.481  -0.385   0.49  ]],[[ 0.6484  -0.4412  -0.1615  ...  0.721    0.4949  -0.05194]],[[ 0.9297  -0.00824 -0.5664  ...  0.801   -0.1185   0.197  ]],[[-0.1602 -0.4854 -0.702  ...  0.557   0.6943  0.63  ]],[[ 0.2522  -0.3176  -1.69    ...  0.447   -0.00296  1.159  ]],[[-0.678   0.4429 -0.9995 ... -0.4558  0.3254 -0.2412]],[[-0.2642  0.2476 -0.6655 ...  0.6484  0.4915  0.2722]]
52,its a rule,नियम आहे,[[ 0.13     -0.0514    0.1608   ...  0.005413  0.04163   0.26    ]],[[-0.83    0.3774 -0.1166 ... -0.2262 -0.872  -0.3354]],[[-0.06537 -0.185    0.212   ... -0.01726 -0.3022   1.09   ]],[[-0.5786   0.9653  -0.177   ... -0.2905  -1.645    0.01636]],[[-0.186   -0.2017   0.10126 ...  0.2047  -0.0879   1.749  ]],[[-0.3428  0.501  -0.0834 ... -0.4905 -1.077   0.9746]],[[-0.3025 -0.3127  0.193  ...  1.436  -2.025   3.684 ]],[[-0.575   0.1073 -0.2905 ... -0.2617 -0.2578  1.52  ]],[[-0.024  1.081 -0.682 ...  0.269 -2.24   2.36 ]],[[-1.264   0.573   0.176  ...  0.2346  0.1758  0.4624]]
53,i didnt come here yesterday,मी काल इथे आलो नव्हते,[[-0.01408 -0.1301   0.4287  ...  0.322   -0.274    0.3372 ]],[[ 0.0829  0.3167  0.206  ... -0.1649  0.1844  0.4314]],[[ 0.02882 -0.3274   0.8574  ... -0.6567   0.2018   0.6436 ]],[[ 0.4424   0.8633  -0.08374 ...  0.07556  0.1423   0.9683 ]],[[ 0.1248 -0.4717  0.2954 ... -1.037  -0.3916  0.631 ]],[[ 0.4673   0.2289  -0.4453  ...  0.05258 -0.1887   0.8076 ]],[[-1.041  -1.05    0.8643 ... -0.8706  0.585   0.7734]],[[-0.5938 -0.2063 -0.79   ... -0.4805 -0.9893  2.078 ]],[[-1.22     0.7686  -0.8066  ... -1.698   -0.10016  1.541  ]],[[ 0.263   0.316   0.519  ... -0.2576 -0.4458  0.536 ]]
54,show me your right hand,उजवा हात दाखवा,[[-0.1129   0.2072   0.3337  ...  0.1608   0.10156 -0.141  ]],[[-0.4866  0.1986 -0.074  ... -0.2578 -0.1501 -0.1808]],[[-0.448  -0.0877  0.4033 ... -0.561   0.2208  1.128 ]],[[ 0.684    0.2488  -0.02237 ... -0.9575   0.3662   0.1893 ]],[[-1.135   -0.383   -0.4763  ...  0.3027  -0.02547  0.632  ]],[[ 0.1805   0.3657   0.03482 ... -0.2869   0.03757  0.899  ]],[[-1.221  -0.3997 -0.1    ...  2.498  -0.939   3.023 ]],[[ 0.1396  0.847   0.4204 ...  0.571  -0.1532  2.379 ]],[[-1.455   0.4126 -1.176  ...  0.658  -0.8105  1.987 ]],[[-0.4602  0.8853  1.067  ...  0.715  -0.529   1.333 ]]
55,no ones doing anything,कोणीही काहीही करत नाहीये,[[-0.2239    0.3406    0.8066   ...  0.2876    0.006897  0.407   ]],[[ 0.3765  -0.4     -0.2314  ...  0.09265 -0.9253   0.2869 ]],[[-0.1211    0.06384   0.010864 ... -0.3975   -0.1968    0.963   ]],[[ 0.7915  0.643  -0.9067 ...  0.0761 -0.427   0.4653]],[[-0.295  -0.274   0.2744 ...  0.271   0.266   1.193 ]],[[ 0.379  -0.0993 -0.5713 ... -0.197  -1.215   0.5083]],[[-0.3333  0.4229 -0.2218 ...  2.246   0.1185  1.183 ]],[[-0.5747 -0.455  -1.203  ...  0.3855 -1.167   1.261 ]],[[-0.572   0.389  -1.588  ... -0.4854 -0.647   1.301 ]],[[ 0.0297 -0.304   1.365  ...  0.7026  0.1849 -0.1818]]
56,are you ready to go out,बाहेर जायला तयार आहेस,[[ 0.661    0.03647  0.754   ... -0.2019  -0.4119  -0.0893 ]],[[ 0.1682   -0.0232    0.005146 ... -0.0839   -0.797     0.4885  ]],[[ 0.594   -0.202    0.5454  ...  0.10016  0.1015   0.1127 ]],[[ 1.0625  0.1261 -0.4966 ... -0.1388 -1.228   0.8433]],[[-0.1547  -0.5796  -0.06604 ...  0.5054  -0.4502   0.6807 ]],[[ 1.309   0.2311 -0.4246 ...  0.1796 -1.163   0.4482]],[[-1.411   0.1067  0.3164 ...  0.3743 -1.435   2.018 ]],[[ 0.8096   0.02681 -0.643   ... -0.1879  -1.716    1.431  ]],[[-0.784   0.633   0.2664 ... -0.538  -0.666   1.212 ]],[[ 0.2952 -0.2852  0.7827 ...  0.2544 -0.2874 -0.2206]]
57,theres a little coffee left in the pot,माठात जराशी कॉफी राहिली आहे,[[-0.2183   0.1935   0.6245  ... -0.427    0.1477   0.03354]],[[ 0.4915  -0.3875   0.193   ...  0.1995  -0.095   -0.03983]],[[ 0.331   -0.02977  0.3374  ... -0.11145  0.086   -0.0997 ]],[[ 0.5547   0.236   -0.4744  ... -0.01294 -0.3752  -0.08307]],[[0.0951 0.0812 0.649  ... 0.834  0.4954 0.321 ]],[[ 0.8604  -0.0998   0.0593  ...  0.314   -0.2247  -0.01701]],[[-1.726  -0.6235  0.5728 ...  2.055   0.7964  1.516 ]],[[ 0.3257  -0.789   -1.357   ...  0.8877   0.03476  0.906  ]],[[-1.262    -0.1376   -0.004593 ... -0.01825   0.1327    0.85    ]],[[-0.348     0.5767    0.3396   ...  0.3716    0.3997   -0.005486]]
58,i dont like pizza anymore,मला आता पिजा आवडत नाही,[[-0.8555 -0.581   0.2842 ...  0.1561  0.694   0.6924]],[[ 0.3555 -0.4033  0.1107 ...  0.0599 -0.2241 -0.3499]],[[-0.0964 -0.678  -0.4624 ... -0.1941  0.4924  1.567 ]],[[ 1.098   0.241  -0.323  ...  0.1868 -0.3047 -0.2299]],[[ 0.8857 -0.987  -0.1825 ... -0.2837  0.4111  1.713 ]],[[ 1.147  -0.0881 -0.3567 ...  0.247  -0.4233  0.1616]],[[ 2.033  -2.047   0.0212 ... -0.2117  0.2817  2.088 ]],[[ 0.3962 -0.2087 -0.7817 ... -0.608  -0.256   0.543 ]],[[ 0.5884   0.2467  -0.06027 ... -0.289   -0.2578   1.104  ]],[[-0.1356   1.538    1.603   ... -1.428    0.08417 -0.914  ]]
59,tom doesnt have much money,टॉमकडे जास्त पैसा नाहीयेत,[[-0.01495  -0.746     0.0667   ...  0.09296   0.002417 -0.3145  ]],[[ 0.1127  -0.02025 -0.1804  ...  0.754   -0.3323   0.4592 ]],[[-0.05048 -0.3955  -0.1622  ... -1.133    0.3848   0.294  ]],[[ 0.4548  0.385  -0.2488 ...  0.1294 -0.3408  0.6396]],[[-0.534  -0.501   0.2484 ... -1.329   0.4634  0.766 ]],[[ 0.637   -0.1914   0.01308 ...  0.2264  -0.6924   0.697  ]],[[-1.966  -1.934   0.4407 ... -1.596   1.3     0.486 ]],[[ 0.3286  0.337  -1.5625 ...  0.3174  0.0898  1.03  ]],[[-1.963  -0.735  -0.5435 ... -0.884   0.5645  0.0538]],[[ 0.762    0.2595  -0.07965 ...  0.1902   0.443   -0.4375 ]]
60,tom landed his helicopter on the roof,टॉमने त्याचं हेलिकॉप्टर छतावर उतरवलं,[[ 0.392   -0.1832   0.2106  ... -0.12366  0.3997   0.1821 ]],[[ 0.1737  0.229  -0.1598 ... -0.1316  0.135   0.2316]],[[ 1.133    -0.002756  0.0939   ... -0.633     0.1498    0.1461  ]],[[ 0.685   0.645  -0.0627 ... -0.4114  0.3054  0.0856]],[[ 0.4414 -0.3     0.2202 ... -0.737   0.2878  0.1339]],[[ 1.21    0.1515 -0.2976 ... -0.5034 -0.1919 -0.2627]],[[-0.3252  -0.01793 -0.04263 ... -0.94     1.238    1.614  ]],[[-0.377   0.2184 -2.01   ... -0.3772  0.82   -0.7383]],[[ 0.02425  1.624   -0.566   ... -1.866    0.6655   0.02592]],[[ 0.306   0.3123  0.2173 ...  0.1581  0.3623 -0.955 ]]
61,you dont need to shout im not deaf,ओरडायची गरज नाहीये मी बहिरा नाहीये,[[-0.2352  -0.03033  0.2744  ... -0.03726 -0.1989  -0.01817]],[[ 0.2286   0.08014  0.1647  ... -0.0677   0.06192 -0.3352 ]],[[ 0.1449  0.2915 -0.1477 ... -0.7607  0.7476  0.3105]],[[ 0.7256   0.883   -1.033   ... -0.09106  0.10583  0.1781 ]],[[-0.3704 -0.1685  0.0615 ... -1.207   0.579   0.4805]],[[ 0.5547   0.1469  -0.7773  ...  0.10675 -0.2373   0.725  ]],[[-1.699  -0.3413  0.707  ... -0.607   1.676   0.4653]],[[-0.00537 -0.5825  -1.813   ...  0.0329  -0.6313   1.149  ]],[[-1.412   0.8086 -0.4146 ... -0.073   0.709   0.1619]],[[-0.0669  0.8843 -0.4731 ...  0.2218 -0.1191 -0.365 ]]
62,anyone could do that,ते तर कोणीही करू शकतं,[[0.1803  0.1309  0.1135  ... 0.02097 0.1148  0.4863 ]],[[ 0.1564  0.378  -0.1199 ... -0.3223  0.177   0.438 ]],[[ 0.4531 -0.2107  0.2496 ... -0.2603  0.37    0.4604]],[[ 0.287   0.3274 -0.57   ...  0.3206 -0.6196  0.4297]],[[ 0.902   -0.2295   0.08014 ... -0.4646  -0.3906   1.005  ]],[[ 0.529   0.523  -0.622  ...  0.3474 -1.309   0.7607]],[[ 1.009  -0.9487 -0.698  ...  1.004   0.2451  1.621 ]],[[-0.08514 -0.7837  -1.162   ...  0.8003  -1.193    0.8887 ]],[[ 0.3699   -0.139    -2.643    ... -0.007423  0.1986    1.5205  ]],[[ 0.338    0.05203 -0.4133  ...  0.7637   0.0542  -0.8955 ]]
63,theres no time to talk,बोलत बसायला वेळ नाहीये,[[-0.1484  -0.04797  0.6885  ... -0.4033   0.1184   0.3037 ]],[[ 0.484   0.0646  0.0794 ...  0.0927 -0.1344  0.2776]],[[-0.738   -0.706    0.03354 ... -0.4126  -0.0495   0.583  ]],[[ 0.1581  -0.19    -0.6094  ...  0.4614  -0.02197  0.11334]],[[-0.9634 -0.3333 -0.589  ... -0.0834  0.0711  1.505 ]],[[-0.3594   0.09595 -0.6196  ...  0.4229   0.04788  0.08234]],[[-2.31   -0.5205 -1.144  ...  0.665   1.137   2.682 ]],[[-1.366   0.2988 -1.801  ...  0.769  -0.5776  0.9453]],[[-1.422   0.3071 -0.8877 ... -0.4385  0.1477  1.656 ]],[[-1.41     0.6807   0.0855  ... -0.01154 -0.8467   0.2688 ]]
64,tom is studying french,टॉम फ्रेंचचा अभ्यास करत आहे,[[-0.1071 -0.2898  0.2019 ... -0.2468  0.798  -0.3647]],[[ 0.2384  0.1562  0.157  ...  0.2996 -0.5015 -0.1075]],[[ 1.248   -0.06152 -0.503   ... -0.9434   0.6855   0.5615 ]],[[ 0.3308  0.2207 -0.574  ... -0.2024  0.0911 -0.2345]],[[ 0.7163  0.1083  0.3423 ... -0.4573  0.961   0.7236]],[[ 0.7505   0.06525 -0.5815  ...  0.3086   0.1808  -0.231  ]],[[-0.913   0.7534 -0.3323 ... -0.3809  1.243   1.4375]],[[-0.4485  0.742  -1.742  ... -0.298   0.3684  0.3223]],[[-2.201    2.244   -1.086   ... -2.115    0.09705  0.308  ]],[[-0.204   0.7896  1.007  ... -0.6055  0.548  -0.2615]]
65,tom is responsible for that,टॉम त्यासाठी जबाबदार आहे,[[-0.3225 -0.4453 -0.0095 ...  0.4592  0.2363  0.4119]],[[-0.0647  0.3687  0.5015 ...  0.6436 -0.4783 -0.194 ]],[[ 0.7837  -0.3098  -0.2908  ... -0.4473  -0.02698  0.5283 ]],[[ 0.5566   0.1045   0.4849  ...  0.04877 -0.2527  -0.0797 ]],[[ 0.6196 -0.0208  0.4429 ... -0.617   0.1869  0.29  ]],[[ 1.184   -0.1575   0.0556  ...  0.3376  -0.7715   0.11096]],[[ 0.1686  1.041   0.591  ... -0.07    0.1724  0.667 ]],[[ 0.1702  0.1238 -1.708  ...  0.1841 -0.2993  0.625 ]],[[-0.835   1.261  -0.0951 ... -0.614  -0.432  -0.3376]],[[ 0.3584  0.645   0.279  ... -0.2012  0.143  -0.835 ]]
